_id,SOZIETATEA_EU/SOCIEDAD_EU,SOZIETATEA_CAS/SOCIEDAD_CAS,DENBORALDIA/TEMPORADA,JARDUERA_EU/ACTIVIDAD_EU,JARDUERA_CAS/ACTIVIDAD_CAS,KATEGORIA_EU/CATEGORIA_EU,KATEGORIA_CAS/CATEGORIA_CAS,IZENA EMATEKO EPEA (HASIERA)_EU/PLAZO INSCRIPCION (DESDE)_EU,IZENA EMATEKO EPEA (HASIERA)_CAS/PLAZO INSCRIPCION (DESDE)_CAS,IZENA EMATEKO EPEA (AMAIERA)_EU/PLAZO INSCRIPCION (HASTA)_EU,IZENA EMATEKO EPEA (AMAIERA)_CAS/PLAZO INSCRIPCION (HASTA)_CAS
50,BFA,DFB,2024/2025,TXIRRINDULARITZA,CICLISMO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,EKAINAK 6,6 DE JUNIO
51,BFA,DFB,2024/2025,TXIRRINDULARITZA,CICLISMO,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,EKAINAK 6,6 DE JUNIO
52,BFA,DFB,2024/2025,TXIRRINDULARITZA,CICLISMO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,EKAINAK 6,6 DE JUNIO
53,BFA,DFB,2024/2025,PATINAJE LASTERKETAK,PATINAJE CARRERAS,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
54,BFA,DFB,2024/2025,PATINAJE LASTERKETAK,PATINAJE CARRERAS,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
55,BFA,DFB,2024/2025,PATINAJE LASTERKETAK,PATINAJE CARRERAS,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
56,BFA,DFB,2024/2025,PATINAJE LASTERKETAK,PATINAJE CARRERAS,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
57,BFA,DFB,2024/2025,PATINAJE LASTERKETAK,PATINAJE CARRERAS,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 18,18 DE OCTUBRE
58,BFA,DFB,2024/2025,CROSSTRAINING-HERRI KIROLAK,CROSSTRAINING-HERRI KIROLAK,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
59,BFA,DFB,2024/2025,HERRI KIROLA,DEPORTE RURAL,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
60,BFA,DFB,2024/2025,HERRI KIROLA,DEPORTE RURAL,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
61,BFA,DFB,2024/2025,HERRI KIROLA,DEPORTE RURAL,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
62,BFA,DFB,2024/2025,HERRI KIROLA,DEPORTE RURAL,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
63,BFA,DFB,2024/2025,HERRI KIROLA,DEPORTE RURAL,GAZTEAK,JUVENIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
64,BFA,DFB,2024/2025,ALPETAR ESKIA,ESQUI ALPINO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,URTARRILAK 23,23 DE ENERO,MARTXOAK 31,31 DE MARZO
65,BFA,DFB,2024/2025,KIROL ESKALADA,ESCALADA DEPORTIVA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
66,BFA,DFB,2024/2025,KIROL ESKALADA,ESCALADA DEPORTIVA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
67,BFA,DFB,2024/2025,KIROL ESKALADA,ESCALADA DEPORTIVA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
68,BFA,DFB,2024/2025,KIROL ESKALADA,ESCALADA DEPORTIVA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
69,BFA,DFB,2024/2025,KIROL ESKALADA,ESCALADA DEPORTIVA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
70,BFA,DFB,2024/2025,ESKRIMA,ESGRIMA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
71,BFA,DFB,2024/2025,ESKRIMA,ESGRIMA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
72,BFA,DFB,2024/2025,ESKRIMA,ESGRIMA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
73,BFA,DFB,2024/2025,ESKRIMA,ESGRIMA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,URTARRILAK 10,10 DE ENERO
74,BFA,DFB,2024/2025,FUTBOL 11 R,FUTBOL 11 R,R UMEEN 1GO. URTEA,INFANTIL PRIMER AÃO R,UZTAILAK 10,10 DE JULIO,UZTAILAK 24,24 DE JULIO
75,BFA,DFB,2024/2025,FUTBOL 11 R,FUTBOL 11 R,R UMEEN 2. URTEA,INFANTIL 2Âº AÃO R,UZTAILAK 10,10 DE JULIO,UZTAILAK 24,24 DE JULIO
