_id,SOZIETATEA_EU/SOCIEDAD_EU,SOZIETATEA_CAS/SOCIEDAD_CAS,DENBORALDIA/TEMPORADA,JARDUERA_EU/ACTIVIDAD_EU,JARDUERA_CAS/ACTIVIDAD_CAS,KATEGORIA_EU/CATEGORIA_EU,KATEGORIA_CAS/CATEGORIA_CAS,IZENA EMATEKO EPEA (HASIERA)_EU/PLAZO INSCRIPCION (DESDE)_EU,IZENA EMATEKO EPEA (HASIERA)_CAS/PLAZO INSCRIPCION (DESDE)_CAS,IZENA EMATEKO EPEA (AMAIERA)_EU/PLAZO INSCRIPCION (HASTA)_EU,IZENA EMATEKO EPEA (AMAIERA)_CAS/PLAZO INSCRIPCION (HASTA)_CAS
252,BFA,DFB,2024/2025,ARKU-TIRUA,TIRO CON ARCO,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
253,BFA,DFB,2024/2025,ARKU-TIRUA,TIRO CON ARCO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
254,BFA,DFB,2024/2025,ARKU-TIRUA,TIRO CON ARCO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
255,BFA,DFB,2024/2025,TAEKWONDOA,TAEKWONDO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
256,BFA,DFB,2024/2025,TAEKWONDOA,TAEKWONDO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
257,BFA,DFB,2024/2025,TAEKWONDOA,TAEKWONDO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
258,BFA,DFB,2024/2025,TAEKWONDOA,TAEKWONDO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
259,BFA,DFB,2024/2025,MAHAIAKO TENISA,TENIS MESA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
260,BFA,DFB,2024/2025,MAHAIAKO TENISA,TENIS MESA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
261,BFA,DFB,2024/2025,MAHAIAKO TENISA,TENIS MESA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
262,BFA,DFB,2024/2025,MAHAIAKO TENISA,TENIS MESA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
263,BFA,DFB,2024/2025,MAHAIAKO TENISA,TENIS MESA,GAZTEAK,JUVENIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
264,BFA,DFB,2024/2025,MAHAIAKO TENISA,TENIS MESA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
265,BFA,DFB,2024/2025,TRIATLOIA,TRIATLON,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,MARTXOAK 7,7 DE MARZO
266,BFA,DFB,2024/2025,TRIATLOIA,TRIATLON,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,MARTXOAK 7,7 DE MARZO
267,BFA,DFB,2024/2025,TRIATLOIA,TRIATLON,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,MARTXOAK 7,7 DE MARZO
268,BFA,DFB,2024/2025,TRIATLOIA,TRIATLON,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,MARTXOAK 7,7 DE MARZO
269,BFA,DFB,2024/2025,TRIATLOIA,TRIATLON,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,MARTXOAK 7,7 DE MARZO
270,BFA,DFB,2024/2025,BOLEIBOLA,VOLEIBOL,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
271,BFA,DFB,2024/2025,BOLEIBOLA,VOLEIBOL,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
272,BFA,DFB,2024/2025,BOLEIBOLA,VOLEIBOL,GAZTEAK,JUVENIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
273,BFA,DFB,2024/2025,BOLEIBOLA 3,VOLEIBOL 3,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
274,BFA,DFB,2024/2025,BOLEIBOLA 3,VOLEIBOL 3,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 4,4 DE OCTUBRE
275,BFA,DFB,2024/2025,BELA,VELA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
276,BFA,DFB,2024/2025,BELA,VELA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
277,BFA,DFB,2024/2025,BELA,VELA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
278,BFA,DFB,2024/2025,BELA,VELA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
279,BFA,DFB,2024/2025,VOLEY PLAYA,VOLEY PLAYA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
280,BFA,DFB,2024/2025,VOLEY PLAYA,VOLEY PLAYA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
281,BFA,DFB,2024/2025,VOLEY PLAYA,VOLEY PLAYA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
282,BFA,DFB,2024/2025,VOLEY PLAYA,VOLEY PLAYA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
283,BFA,DFB,2024/2025,VOLEY PLAYA,VOLEY PLAYA,GAZTEAK,JUVENIL,IRAILAK 2,2 DE SEPTIEMBRE,MAIATZAK 5,5 DE MAYO
284,BFA,DFB,2024/2025,WATERPOLOA,WATERPOLO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 4,4 DE OCTUBRE
285,BFA,DFB,2024/2025,WATERPOLOA,WATERPOLO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
286,BFA,DFB,2024/2025,WATERPOLOA,WATERPOLO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
